Supplement of Clim. Past, 12, 1079–1092, 2016
http://www.clim-past.net/12/1079/2016/
doi:10.5194/cp-12-1079-2016-supplement
© Author(s) 2016. CC Attribution 3.0 License.
Supplement of
A Late Pleistocene sea level stack
Rachel M. Spratt and Lorraine E. Lisiecki
Correspondence to: Lorraine E. Lisiecki (lisiecki@geol.ucsb.edu)
The copyright of individual parts of the supplement might differ from the CC-BY 3.0 licence.
Age(ka) PC1 Sigma 2.50% 25% 50% 75% 97.50%
379 -37.79 12.3 -60.15 -49.48 -42.52 -33.46 -11.74
380 -26.52 12.52 -58.06 -44.96 -37.48 -28.14 -9.37
381 -24 12.06 -52.83 -40.18 -32.71 -23.46 -5.55
382 -28.9 12.2 -49.81 -37.64 -30.24 -21.44 -3.72
383 -27.84 11.58 -47.87 -36.62 -29.66 -21.21 -4.59
384 -27.28 10.54 -47.83 -35.83 -28.87 -21.23 -7.63
385 -25.07 10.36 -45.95 -33.91 -26.65 -19.36 -6.55
386 -22.2 9.68 -44.24 -31.93 -25.4 -18.65 -7.77
387 -19.07 8.52 -41.12 -31.08 -25.25 -19.02 -8.93
388 -21.65 7.86 -40.12 -31.57 -25.89 -20.17 -10.57
389 -26.23 7.65 -40.02 -31.47 -26.33 -21.12 -11.02
390 -28.4 7.96 -41.1 -31.19 -26.13 -20.82 -9.4
391 -23.4 8.89 -39.74 -29.56 -23.88 -18.37 -5.45
392 -17.91 10.18 -38.09 -26.49 -20.54 -13.68 2.42
393 -9.74 10.75 -33.46 -21.86 -15.39 -8.68 8.84
394 -6.53 11.1 -29.88 -18.14 -11.22 -3.54 11.66
395 -4.22 10.89 -26.82 -14.94 -7.93 0.11 15.57
396 -3.16 11.27 -25.75 -12.64 -5.25 2.47 18.29
397 -1.02 12.18 -24.75 -9.85 -2.15 5.71 24
398 3.18 13.07 -23.35 -7.29 1.34 10.61 28
399 10.24 13.31 -22.27 -3.64 5.56 14.65 32.48
400 14.59 13.4 -19.35 -0.19 9.02 17.37 34.17
401 14.05 13.42 -16 2.54 11.86 20.07 35.96
402 13.01 12.88 -13.46 3.77 12.74 20.53 36.1
403 14.56 12.01 -12.24 3.59 12.19 19.45 34.72
404 15.96 11.51 -12.5 3.69 11.6 18.82 33
405 12.86 11.57 -13.54 2.96 11 18.17 33.47
406 11.17 11.44 -14.26 1.59 9.69 16.38 30.78
407 10.25 10.94 -16.91 -0.25 7.39 14.25 27.24
408 7.79 10.99 -19.62 -3.32 4.19 11.22 24.12
409 5.44 11.27 -24.25 -7.59 0.27 7.73 21.21
410 -3.39 11.33 -27.75 -11.54 -4.35 3.62 16.63
411 -7.72 11.08 -33.95 -15.86 -8.51 -0.73 10.75
412 -11.95 10.7 -38.67 -20.18 -12.7 -5.4 3.83
413 -12.45 10.63 -42.22 -24.61 -17.16 -9.94 0.57
414 -17.47 10.52 -45.35 -29.31 -22.22 -14.81 -2.75
415 -25.15 10.43 -48.72 -33.74 -27.1 -19.8 -7.67
416 -31.74 11.41 -56.93 -41.68 -33.62 -26.11 -13.09
417 -35.59 12.48 -66.53 -50.07 -39.96 -32.22 -19.72
418 -46.88 13.08 -73.37 -57.1 -47.67 -38.31 -24.06
419 -51.43 13.42 -80.07 -62.76 -54.02 -44.78 -26.95
420 -58.11 13.93 -84.58 -67.99 -59.79 -51.27 -27.29
421 -63.52 13.71 -89.57 -75.18 -66.11 -57.44 -36.64
422 -66.31 12.29 -94.51 -79.55 -71.28 -63.13 -47.72
423 -77.44 12.55 -103.53 -87.15 -78.5 -70.68 -54.59
424 -78.65 13.81 -117.38 -96.94 -87 -78.41 -63.16
425 -95.55 14.58 -127.97 -106.94 -96.22 -87.28 -71.58
426 -109.94 14.7 -135.51 -115.64 -105.55 -94.62 -78.84
427 -116.49 13.76 -143.17 -123.32 -114.53 -104.92 -89.19
428 -118.26 13.87 -148.56 -129.08 -119.7 -110.03 -94.4
429 -120.44 13.74 -150.2 -131.08 -121.48 -111.93 -96.76
430 -119.42 12.81 -149.38 -130.8 -121.84 -112.9 -97.73
431 -119.41 14.67 -150.37 -133.62 -122.99 -112.58 -95.74
432 -120.06 14.12 -148.76 -132.8 -122.69 -111.75 -95.47
433 -121.15 13.75 -145.59 -131.8 -122.01 -111.04 -94.41
434 -119.52 13.43 -142.99 -130.69 -120.27 -110.41 -93.02
435 -115.07 13.44 -141.72 -129.31 -119.32 -109.04 -92.12
436 -113.91 13.59 -140.13 -126.95 -117.33 -106.65 -89.18
437 -113.26 13.88 -137.59 -124.78 -114.69 -104.08 -86.1
438 -110.74 14.33 -135.79 -121.69 -112.21 -100.77 -82.22
439 -105.38 14.5 -132.91 -118.86 -108.67 -97.85 -78.82
440 -99.91 14.46 -129.35 -115.97 -106.76 -95.19 -76
441 -98.54 14.31 -127.64 -114.17 -105.37 -93.9 -74.87
442 -100.55 14.1 -126.65 -113.44 -103.96 -93.02 -74.57
443 -101.78 13.66 -125.9 -112.46 -102.97 -92.35 -75.24
444 -99.69 12.91 -124 -111.55 -101.83 -91.54 -75.56
445 -96.28 11.88 -121.22 -108.77 -100.71 -91.17 -76.64
446 -95.52 10.55 -117.85 -106.74 -99.63 -91.27 -78.42
447 -95.02 9.39 -115.18 -105.55 -99.14 -91.88 -80
448 -96.95 8.66 -114.45 -105.21 -99.34 -92.69 -82.02
449 -98.28 8.65 -114.6 -105.85 -99.76 -93.59 -82
450 -97.77 9.22 -117.04 -106.17 -100.25 -93.93 -80.19
451 -97.82 10.04 -118.6 -106.14 -100.12 -93.07 -77.63
452 -96.21 10.55 -118.14 -104.99 -98.63 -91.33 -75.34
453 -94.59 10.62 -115.48 -104.03 -97.26 -89.42 -73.63
454 -92.94 10.48 -112.57 -102.63 -95.81 -87.91 -72.38
455 -90.9 10.35 -111.16 -100.56 -94.18 -86.31 -70.77
456 -89.86 10.2 -109.39 -98.96 -92.51 -84.67 -69.75
457 -88.33 9.96 -107.48 -96.42 -90.18 -82.37 -68.55
458 -85.94 9.51 -105.95 -93.84 -88.25 -81.1 -67.9
459 -81.84 9.04 -102.72 -91.5 -85.98 -79.19 -66.4
460 -81.43 8.85 -99.88 -89.71 -83.7 -77.43 -65.26
461 -79.68 8.89 -97.25 -87.97 -81.98 -75.52 -62.77
462 -78.29 9.26 -95.54 -86.75 -80.62 -73.36 -60.63
463 -75.46 10.02 -95.82 -86.53 -79.51 -71.56 -58.26
464 -73.88 12 -99.84 -85.63 -78.02 -69.24 -53.37
465 -74.83 13.88 -98.79 -84.29 -75.52 -65.3 -47.1
466 -71.39 15.8 -98.39 -80.67 -70.96 -60.01 -35.63
467 -62.89 16.6 -94.17 -76.27 -66.43 -54.26 -27.85
468 -52 17.1 -89.89 -72.9 -61.89 -49.46 -22.12
469 -51.21 17.12 -86.79 -69.01 -57.72 -44.77 -18.9
470 -51.75 17.35 -83.43 -64.39 -53.72 -40.08 -15.39
471 -49.63 17.46 -80.63 -61.24 -50.23 -36.61 -13.96
472 -41.58 17.18 -75.91 -57.5 -46.56 -32.79 -11.84
473 -36.84 16.45 -71.05 -53.14 -42.53 -29.4 -10.09
474 -34.5 15.35 -66.49 -48.37 -38.15 -26.21 -7.86
475 -32.09 14.63 -62.85 -44.63 -35.13 -24.19 -6.72
476 -29.84 13.61 -60.19 -41.7 -33.54 -23.17 -7.39
477 -27.61 12.41 -56.85 -40.18 -32.77 -24.04 -8.81
478 -28.34 11.09 -53.28 -39.82 -32.99 -24.94 -10.06
479 -31.41 9.69 -51.47 -39.31 -33.38 -26.53 -12.73
480 -32.77 7.94 -49.46 -38.89 -33.58 -28.38 -17.53
481 -32.41 6.45 -46.88 -37.67 -33.28 -29.27 -21.14
482 -30.53 5.98 -45.58 -36.1 -31.96 -28.23 -21.15
483 -28.2 6.29 -43.54 -34.22 -29.64 -25.82 -17.6
484 -24.91 6.75 -41.12 -31.51 -26.6 -22.54 -14.13
485 -21.12 7.02 -39.32 -29.07 -23.96 -19.47 -11.37
486 -17.44 7.68 -37.89 -27.39 -21.83 -17.14 -8.61
487 -17.62 8.78 -38.84 -26.71 -20.5 -14.73 -5.35
488 -17.2 10.06 -40.79 -26.44 -19.33 -12.63 -2.45
489 -18.07 11.25 -42.05 -26.27 -18.08 -10.87 1.07
490 -15.29 12.28 -43.15 -25.63 -16.85 -8.99 4.63
491 -12.74 13.15 -42.7 -25.76 -15.72 -7.3 8.03
492 -10.85 13.84 -43.11 -25.61 -15.38 -5.8 10.47
493 -12.44 14.77 -45.4 -26.1 -16.05 -5.7 11.61
494 -14.59 15.6 -48.38 -28.43 -17.4 -6.81 12.74
495 -17.71 16.32 -50.36 -29.78 -18.45 -6.62 12.84
496 -18.44 16.74 -51.49 -30.32 -18.11 -6.59 12.41
497 -15.39 16.94 -51.59 -31.1 -18.78 -7.01 12.71
498 -14.05 17.08 -52.54 -32.93 -19.97 -8.86 12.79
499 -17.99 17.16 -54.27 -33.63 -21.73 -10.1 13.1
500 -22.56 17.17 -55.52 -35.21 -24.1 -11.76 11.07
501 -23.33 16.97 -56.84 -37.44 -26.27 -13.96 8.47
502 -24.04 16.91 -59.08 -40.2 -28.87 -16.76 7.26
503 -27.37 16.94 -61.16 -42.18 -31.29 -18.94 5.31
504 -30.58 17.04 -64.95 -44.61 -33.54 -20.82 1.93
505 -33.44 17.12 -68.67 -47.93 -37.27 -24.34 -0.82
506 -36.11 17.25 -72.35 -52.07 -40.86 -28.6 -5.48
507 -42.61 17.86 -78.27 -58.05 -46.14 -33.43 -10.12
508 -47.62 17.94 -81.58 -63.02 -51.22 -37.74 -14.77
509 -55.32 17.38 -83.66 -66.39 -54.7 -41.93 -19.05
510 -55.45 16.9 -85.22 -67.65 -56.52 -43.96 -20.86
511 -53.4 16.62 -84.89 -68.85 -57.52 -44.63 -20.68
512 -52.81 16.26 -84.36 -67.35 -56.31 -44.4 -21.21
513 -53.28 15.78 -83.35 -65.87 -54.78 -43.91 -22.35
514 -51.5 15.18 -81.72 -64.37 -53.28 -43.13 -21.56
515 -50.33 14.4 -78.1 -62.09 -51.58 -42.26 -21.74
516 -47.55 13.41 -75.04 -59.76 -50.61 -40.72 -21.92
517 -44.78 12.68 -72.88 -58.09 -49.5 -40.68 -22.92
518 -45.35 12.07 -71.99 -56.71 -48.24 -40.23 -22.62
519 -46.68 11.8 -71.44 -55.66 -47.68 -40.1 -23.66
520 -45.1 11.66 -71.34 -55.92 -47.76 -40.36 -25
521 -44.99 11.73 -72.63 -57.17 -48.72 -41.35 -26.42
522 -46.82 11.83 -74.23 -58.35 -49.85 -42.24 -27.7
523 -49.7 11.84 -75.33 -59.13 -50.99 -43.16 -28.53
524 -50.48 11.75 -75.95 -59.46 -51.47 -44.21 -29.38
525 -49.96 11.64 -76.05 -59.7 -51.89 -44.38 -29.94
526 -49.68 11.41 -75.52 -59.24 -51.46 -43.67 -30.65
527 -48.46 11.09 -74.84 -58.91 -51.35 -44.12 -31.41
528 -48.5 10.75 -75.34 -59.2 -51.63 -44.57 -33.08
529 -50.66 10.42 -76.18 -59.89 -52.58 -45.61 -34.86
530 -52.1 10.05 -76.21 -61.18 -53.68 -47.22 -36.67
531 -53.67 9.63 -75.14 -61.81 -54.73 -48.21 -38.35
532 -53.71 9.36 -75.64 -62.46 -55.86 -49.33 -40.12
533 -53.01 9.38 -77.81 -64.17 -57.81 -51.25 -40.28
534 -56.16 9.55 -79.35 -66.98 -60.12 -53.24 -41.9
535 -61.14 10.17 -82.56 -69.94 -63.34 -55.46 -43.19
536 -64.07 10.45 -84.64 -72.97 -65.51 -57.47 -45.4
537 -67.39 11.01 -86.45 -74.45 -66.21 -57.84 -45.18
538 -64.18 12.32 -87.22 -74.71 -66.1 -56.6 -41.16
539 -59.91 13.34 -87.92 -73.6 -64.58 -55.34 -35.08
540 -58.99 14.07 -85.4 -70.85 -62.04 -53.26 -30.45
541 -55.16 14.86 -85.45 -70.08 -60.5 -50.03 -27.24
542 -51.73 15.46 -83.84 -69.25 -59.27 -48.76 -25.01
543 -53.72 15.58 -83.27 -68.73 -58.13 -47.58 -24.02
544 -53.89 15.28 -83.09 -68.59 -57.41 -46.74 -24.64
545 -53.73 14.52 -84.05 -68.35 -58.64 -48.27 -28.41
546 -55.03 13.33 -83.9 -68.51 -59.22 -50.08 -31.42
547 -57.35 12.1 -84.49 -69 -60.61 -52.25 -36.55
548 -59.46 11.01 -84.45 -70.06 -62.11 -54.58 -41.25
549 -62.11 10.18 -83.64 -69.98 -62.73 -55.66 -44.83
550 -62.75 9.64 -82.71 -69.81 -62.78 -56.36 -45.13
551 -60.01 9.24 -81.35 -69.36 -63.34 -56.79 -46.41
552 -58.3 9.21 -80.96 -69.73 -63.34 -56.99 -45.72
553 -59.76 9.27 -79.75 -69.24 -62.81 -55.89 -44.16
554 -61.1 9.65 -78.66 -68.3 -61.55 -54.39 -41.3
555 -58.37 10.29 -76.36 -65.86 -59.42 -51.75 -37.06
556 -52.38 11.22 -74.15 -62.97 -55.56 -47.28 -31.7
557 -46.51 11.64 -70.67 -58.66 -51.07 -42.55 -26.21
558 -40.41 11.62 -66.42 -54.08 -46.34 -38.07 -21.99
559 -37.88 11.51 -62.85 -50.74 -43.19 -34.61 -18.68
560 -36.07 11.42 -60.2 -48.61 -40.84 -32.59 -16.62
561 -35.39 11.34 -58.34 -47.29 -39.7 -30.99 -15.68
562 -34.82 11.11 -56.09 -45.66 -38.51 -29.81 -14.39
563 -33.39 10.8 -54.09 -43.26 -36.4 -28.29 -13.27
564 -30.12 10.65 -50.98 -39.89 -32.69 -25.22 -9.15
565 -26.73 10.89 -47.13 -35.86 -28.17 -20.23 -5.38
566 -19.58 10.5 -43.65 -30.72 -23.48 -15.97 -2.77
567 -13.9 10.21 -39.04 -26.35 -20 -12.24 -0.25
568 -13.27 9.88 -36.33 -22.87 -16.33 -9.18 2.58
569 -11.65 9.95 -34.8 -20.73 -14.33 -7.03 4.61
570 -9.06 10.38 -33.45 -19.68 -12.89 -5.84 6.64
571 -8.18 11.52 -35 -19.15 -11.68 -4.35 9.06
572 -6.66 12.45 -37.55 -19.49 -10.85 -3.16 10.31
573 -8.42 13.12 -39.76 -20.64 -11.46 -3.32 11.13
574 -8.88 13.44 -40.32 -21.23 -12.66 -3.28 10.88
575 -12.1 12.95 -42.6 -22.05 -13.82 -4.96 8.98
576 -12.36 12.53 -40.77 -23.28 -15.04 -6.5 8.12
577 -11.71 12.99 -44.14 -26.26 -17.75 -8.91 6.36
578 -13.91 13.84 -48.25 -31.49 -22.85 -12.27 5
579 -23.45 14.43 -54.55 -37.66 -28.57 -17.36 0.93
580 -32.03 14.48 -61.05 -44 -35.2 -24.46 -4.55
581 -38.35 13.45 -65.38 -50.7 -41.79 -32.1 -14.27
582 -44.03 12.21 -67.95 -56.31 -48.38 -38.8 -22.38
583 -50.08 11.77 -70.2 -60.91 -52.82 -43.54 -27.45
584 -53.33 11.51 -71.59 -63.16 -55.08 -46.02 -29.23
585 -54.4 11.56 -72.45 -63.06 -55.81 -46.31 -28.93
586 -49.95 11.65 -72.05 -61.64 -54.98 -45.01 -28.28
587 -47.15 12 -71.22 -59.31 -52.37 -41.87 -25.37
588 -45.53 12.39 -67.41 -55.41 -48.45 -37.89 -20.2
589 -39.1 12.82 -64.07 -51.8 -43.82 -33.65 -16.26
590 -33.2 13.07 -61.9 -48.21 -39.95 -29.83 -12.85
591 -30.1 12.8 -58.59 -45.32 -36.37 -26.91 -10
592 -28.97 12.71 -57.08 -43.37 -34.14 -24.94 -8.64
593 -30.38 12.59 -55.47 -42.01 -32.97 -24.15 -7.65
594 -29.81 12.4 -53.81 -40.44 -31.42 -23 -7.17
595 -26.35 12.24 -52.89 -39.41 -30.08 -22.33 -6.36
596 -23.46 12.31 -52.63 -38.66 -30.17 -21.37 -5.54
597 -24.04 13.01 -55.45 -39.71 -30.81 -21.44 -5.64
598 -27.53 14.98 -63.57 -43.86 -33.52 -23.15 -5.36
599 -33.05 16.15 -70.08 -48.31 -37.31 -25.74 -7.06
600 -41.35 16.78 -73.57 -52.33 -40.77 -28.83 -8.57
601 -41.23 16.95 -74.09 -54.52 -42.45 -30.7 -9.11
602 -39.41 16.81 -73 -54.43 -42.55 -30.39 -9.43
603 -37.95 16.28 -68.81 -50.98 -39.42 -27.9 -6.89
604 -33.99 15.84 -64.22 -45.16 -34.12 -22.97 -3.89
605 -24.09 15.68 -59.74 -40.22 -29.06 -18.35 1.52
606 -16.31 15.58 -54.45 -35.68 -24.75 -13.5 5.39
607 -14.29 16.12 -51.81 -32.17 -21.88 -9.7 9.76
608 -15.19 16.8 -53.77 -31.21 -20.07 -8.15 11.59
609 -17.77 17.28 -55.56 -32.12 -19.24 -8.37 11.14
610 -17.66 17.15 -55.27 -32.75 -19.7 -8.79 11.62
611 -18.6 16.77 -54.79 -32.07 -19.42 -8.86 11.2
612 -18.19 16.47 -50.73 -29.85 -19.33 -7.7 12.23
613 -12.57 15.51 -47.95 -28.04 -17.48 -6.81 14.36
614 -9.02 15.23 -45.9 -27.33 -17.2 -5.97 13.27
615 -11.31 15.61 -49.26 -29.04 -18.48 -8.16 11.9
616 -16.78 15.93 -52.51 -35.12 -25.27 -13.78 11.02
617 -29.38 15.95 -63.77 -46.98 -36.4 -25.23 -1.98
618 -43.34 16.58 -80.29 -61.3 -50.99 -38.53 -15.26
619 -65.34 15.37 -91.09 -73.91 -64.67 -54.73 -29.53
620 -78.36 13.46 -102.94 -85.11 -76.74 -67.57 -50.42
621 -86.36 12.08 -112.6 -95.23 -86.67 -78.77 -65.02
622 -93 12.48 -120.27 -102.82 -94 -86.26 -72.53
623 -100.28 13.93 -127.93 -109.6 -99.83 -90.33 -75.59
624 -103.58 15.27 -135.2 -115.7 -104.54 -93.81 -76.75
625 -105.54 16.51 -141.8 -120.77 -108.89 -97.65 -78.3
626 -110.96 17.1 -145.08 -124.03 -112.05 -99.68 -79.51
627 -114.62 17.5 -145.85 -125.2 -113.61 -99.89 -78.39
628 -111.96 17.31 -144.64 -125.93 -113.73 -101.05 -79.49
629 -109.41 17 -142.4 -124.42 -113.04 -100.76 -78.67
630 -108.5 16.3 -139.23 -121.5 -111.13 -98.84 -77.27
631 -105.76 15.43 -135.73 -118.52 -109.26 -97.57 -76.97
632 -103.04 14.5 -132.62 -118.06 -108.56 -97.16 -77.72
633 -102.54 13.89 -130.58 -118.24 -108.91 -98.1 -78.76
634 -105.6 13.89 -131.68 -120.23 -110.3 -99.3 -80.24
635 -109.52 13.46 -131.5 -120.32 -111.08 -99.87 -81.89
636 -111.27 13.21 -130.66 -119.86 -111.25 -99.14 -82.25
637 -105.13 13.06 -128.74 -117.83 -109.42 -98.7 -80.26
638 -101.37 13.05 -126.54 -114.81 -105.86 -95.99 -76.84
639 -99.09 12.66 -122.27 -110.95 -101.88 -92.49 -74.11
640 -93.77 12.56 -118.89 -107.59 -98.34 -88.83 -71.38
641 -92.11 12.31 -117.12 -103.76 -95.19 -85.48 -70.11
642 -89.12 11.82 -113.29 -99.76 -91.22 -82.32 -69.06
643 -85.33 11.21 -109.57 -96.53 -88.7 -80.09 -67.71
644 -82.43 10.92 -107.94 -95.56 -88.23 -79.34 -66.86
645 -82.73 11.36 -108.46 -96.03 -88 -79.12 -66.01
646 -86.64 11.91 -111.24 -97.07 -88.55 -79.19 -65.26
647 -88.13 12.12 -110.28 -96.62 -87.84 -78.57 -64.36
648 -86.44 12 -109.73 -95.19 -87.06 -77.76 -64.12
649 -80.26 11.49 -107.42 -94.01 -86.18 -76.97 -63.97
650 -79.87 10.7 -104.18 -93.21 -85.55 -77.04 -64.27
651 -82.42 10.02 -101.78 -92.46 -85.26 -77.53 -64.56
652 -85.15 9.95 -102.03 -92.02 -84.43 -77.1 -64.95
653 -84.29 9.68 -101.24 -91.02 -83.36 -76.59 -65.36
654 -78.18 9.34 -100.85 -90.44 -83.58 -77.09 -64.37
655 -77.24 9.44 -101.75 -90.9 -83.9 -77.38 -64.69
656 -82.73 9.32 -100.19 -90.86 -84.04 -77.31 -65.37
657 -85.16 9.56 -101.08 -91 -83.7 -77.08 -65.49
658 -83.48 10.22 -101.13 -90.39 -83.28 -75.87 -62.83
659 -78.4 10.39 -100.7 -89.13 -81.32 -74.04 -61.79
660 -75.27 10.06 -99.68 -87.64 -80.73 -73.75 -59.23
661 -77.61 9.81 -98.33 -87.31 -80.48 -73.42 -60.36
662 -79.27 9.9 -98.78 -87.47 -81.19 -73.73 -60.7
663 -80.2 9.8 -98.23 -87.42 -80.63 -73.36 -61.26
664 -79.29 10.52 -98.1 -86.57 -79.18 -72.12 -58.05
665 -75.05 11 -96.27 -84.64 -77 -69.21 -54.91
666 -72.45 11.2 -94.27 -82.15 -74.25 -66.42 -52.32
667 -69.86 11.13 -91.93 -78.78 -70.69 -63.03 -49.63
668 -66.7 10.94 -88.32 -75.99 -68.21 -60.2 -47.26
669 -62.58 10.29 -84.49 -73.55 -66.47 -58.84 -45.49
670 -61.52 9.72 -81.92 -72.38 -65.96 -58.79 -44.03
671 -61.93 9.59 -82.02 -72.55 -66.06 -59.55 -44.05
672 -65.68 9.57 -81.74 -72.97 -66.67 -59.72 -46.24
673 -67.22 9.74 -81.36 -72.25 -65.97 -58.5 -44.54
674 -62.65 10.04 -80.52 -70.46 -63.92 -56.8 -42.32
675 -56.98 10.72 -78.97 -67.85 -61 -53.47 -37.17
676 -53.47 11.36 -75.68 -64.29 -56.97 -48.34 -31.91
677 -50.13 11.92 -72.88 -60.86 -53.1 -43.78 -28.58
678 -45.5 12.69 -71.16 -57.77 -49.28 -39.58 -23.07
679 -42.18 13.85 -69.92 -54.74 -45.45 -34.73 -17.32
680 -38.49 14.87 -68.34 -51.45 -41.25 -29.52 -11.34
681 -34.08 15.65 -65.6 -48.06 -36.76 -24.38 -7.72
682 -28.89 15.92 -62.78 -44.22 -32.08 -19.57 -3
683 -24.49 15.71 -58.91 -39.61 -27.29 -15.81 0.28
684 -21.33 15.09 -54.18 -34.22 -22.94 -11.85 2.3
685 -17.8 14.34 -48.48 -29.24 -18.6 -8.82 5.69
686 -12.64 13.03 -43.42 -25.45 -16.08 -7.13 7.27
687 -9.14 11.55 -38.51 -22.57 -14.75 -7 8.08
688 -11.45 10.67 -35.65 -21.23 -14.65 -7.52 7.06
689 -13.04 10.51 -35.26 -21.93 -15.08 -8.6 6.05
690 -15.63 10.79 -38.45 -23.39 -15.93 -8.98 5.46
691 -15.7 11.37 -39.48 -23.53 -16.02 -8.68 4.6
692 -13.48 11.83 -40.7 -24.1 -15.88 -7.85 4.74
693 -12.46 12.18 -40.23 -23.49 -14.88 -7.17 7.16
694 -12.35 12.52 -40.33 -22.33 -13.93 -5.78 9.32
695 -10.64 12.74 -40.06 -22.29 -13.45 -5.84 11.94
696 -9.93 12.54 -39.79 -22.43 -14.17 -7 11.44
697 -11.83 12.35 -39.88 -23.86 -15.94 -8.36 10.96
698 -15.58 12.29 -41.55 -26.46 -18.41 -11.01 9.53
699 -19.13 12.33 -43.08 -29.26 -21.33 -13.26 7.21
700 -21.36 12.4 -45.84 -32 -24.52 -16.28 5.95
701 -23.27 12.41 -48.71 -34.77 -27.39 -19.47 1.3
702 -26.99 12.34 -51.37 -37.43 -29.63 -21.7 -1.27
703 -30.02 11.87 -53.21 -39.32 -31.48 -24.1 -6.94
704 -31.23 11.56 -55.74 -41.55 -34.32 -26.38 -10.96
705 -31.93 11.63 -60.16 -45.69 -38.56 -30.69 -14.17
706 -36.72 12.53 -67.85 -51.77 -43.86 -35.72 -18.26
707 -48.33 12.46 -73.27 -56.52 -48.95 -40.98 -22.56
708 -57.75 11.99 -77.85 -61.5 -53.95 -46.1 -30.29
709 -56.95 11.61 -83.5 -67.58 -58.64 -51.23 -39.31
710 -58.02 12.96 -89.66 -73.2 -63.52 -55.24 -39.49
711 -64.8 14.19 -95.64 -75.85 -65.99 -57.13 -41.34
712 -68.05 15.76 -106.24 -80.46 -69.81 -59.74 -43.3
713 -71.56 16.02 -108.95 -85.97 -74.65 -64.16 -45.37
714 -80.14 15.47 -109 -89.43 -78.49 -68.2 -49.16
715 -82.33 14.27 -110.18 -90.99 -81.26 -71.23 -56.13
716 -83.25 12.71 -108.96 -93.19 -84.46 -75.22 -61.86
717 -82.13 11.03 -106.72 -94.96 -87.28 -78.64 -65.65
718 -86.11 10.15 -105.52 -95.66 -88.55 -80.76 -68.33
719 -90.18 9.81 -105.46 -95.63 -88.32 -80.95 -68.74
720 -88.93 9.81 -104.74 -93.65 -86.85 -79.49 -67.32
721 -82.33 10.29 -102.44 -90.76 -82.89 -76.03 -64.18
722 -76.68 9.87 -99.27 -85.39 -78.22 -71.83 -61.05
723 -70.14 8.63 -92.39 -79.65 -73.99 -68.32 -58.22
724 -66.7 8.33 -87.2 -76.09 -70.97 -65.4 -54.27
725 -65.99 9.44 -83.16 -72.72 -66.87 -60.32 -45.6
726 -63.32 10.97 -79.63 -69.07 -61.79 -53.62 -36.97
727 -52.01 11.39 -76.64 -64.47 -56.98 -48.21 -32.54
728 -44.27 12.38 -73.99 -61.35 -53.65 -43.71 -26.47
729 -43.98 14.11 -75.58 -58.59 -49.65 -39.27 -20.83
730 -44.3 15.77 -76.73 -58.36 -47.61 -36.99 -16.93
731 -43.81 14.96 -76.78 -56.68 -46.96 -36.82 -18.13
732 -41.74 14.34 -76.91 -55.19 -45.84 -36.93 -19.73
733 -40.02 14.07 -77.77 -55.62 -46.17 -37.42 -20.78
734 -42.07 12.88 -76 -55.71 -47.71 -39.53 -23.41
735 -49.78 10.91 -70.43 -56.04 -49.49 -42.08 -26.15
736 -50.09 10.21 -69.99 -57 -50.13 -43.55 -30.18
737 -48.25 9.49 -70.58 -58.28 -51.55 -45.28 -33.25
738 -47.66 8 -68.08 -58.33 -53.08 -47.62 -35.58
739 -52.7 7.47 -68.42 -59.55 -55.17 -50.39 -38.4
740 -56.43 7.56 -71.27 -62.35 -57.96 -53.09 -40.99
741 -58.79 7.9 -75.6 -65.93 -61.16 -56.26 -43.71
742 -61.79 8.35 -79.93 -69.33 -63.76 -58.47 -47.53
743 -64.82 8.95 -83.65 -72.78 -66.39 -60.5 -49.84
744 -67.33 9.53 -87.32 -76.05 -69.07 -62.11 -50.84
745 -69.88 10.21 -90.82 -79.16 -71.69 -64.3 -52.07
746 -71.14 10.81 -92.85 -81.71 -73.75 -65.58 -52.48
747 -73.88 11.09 -94.39 -83.38 -75.25 -66.78 -52.67
748 -73.75 11.21 -94.79 -84.35 -76.34 -67.45 -52.95
749 -74.38 11.27 -93.77 -84.02 -75.27 -67.36 -51.82
750 -74.08 11.12 -92.75 -81.51 -73.32 -65.32 -50.6
751 -68.3 10.7 -90.54 -79.26 -71.22 -63.23 -50.33
752 -65.75 10.14 -88.45 -76.41 -69.03 -62.08 -49.68
753 -65.13 9.74 -85.12 -73.65 -66.84 -59.84 -48.78
754 -63.7 9.99 -83.39 -72.01 -65.44 -58.41 -45.28
755 -61.85 9.74 -81.81 -70.62 -63.88 -57.69 -42.6
756 -59.1 9.15 -80.41 -68.34 -62.28 -56.15 -43.32
757 -58.67 8.65 -78.2 -65.82 -60.09 -54.65 -43.29
758 -57.34 8.29 -74.9 -63.51 -57.76 -52.76 -42.26
759 -53.97 7.98 -72.19 -61.68 -55.73 -50.56 -40.67
760 -50.83 8.28 -69.9 -59.36 -53.6 -48.14 -38.3
761 -49.19 9.39 -68.65 -57.02 -51.02 -44.89 -31.34
762 -47.72 10.18 -66.67 -54.29 -48.05 -40.85 -26.67
763 -41.61 10.55 -65.02 -52.35 -45.46 -38.11 -22.64
764 -39.17 10.6 -62.98 -49.93 -42.52 -35.71 -21.61
765 -39.26 10.2 -60.15 -46.59 -39.57 -32.88 -21.5
